NAME,total_population,median_household_income,poverty_count,labor_force_count,zcta,poverty_rate,has_sprouts,has_whole_foods
ZCTA5 02827,2286,96401,42,1063,02827,1.837270341207349,No,No
ZCTA5 02828,7263,92340,204,3631,02828,2.808756712102437,No,No
ZCTA5 02829,82,-666666666,0,60,02829,0.0,No,No
ZCTA5 02830,6766,118790,463,3931,02830,6.8430387230269,No,No
ZCTA5 02831,3840,129122,122,2090,02831,3.177083333333333,No,No
ZCTA5 02832,4887,102643,326,2767,02832,6.670759156947002,No,No
ZCTA5 02833,670,-666666666,15,322,02833,2.2388059701492535,No,No
ZCTA5 02835,5554,131875,242,2759,02835,4.357220021606049,No,No
ZCTA5 02836,87,25658,0,48,02836,0.0,No,No
ZCTA5 02837,3622,136389,70,1905,02837,1.932633903920486,No,No
ZCTA5 02838,3468,72278,475,1807,02838,13.696655132641292,No,No
ZCTA5 02839,1598,95154,20,1025,02839,1.2515644555694618,No,No
ZCTA5 02840,23847,81307,2979,13087,02840,12.492137375770538,No,No
ZCTA5 02841,1240,-666666666,0,1177,02841,0.0,No,No
ZCTA5 02842,17009,97555,1225,9349,02842,7.202069492621553,No,No
ZCTA5 02852,23382,103764,1676,13253,02852,7.167906936960054,No,No
ZCTA5 02857,8031,106250,212,4730,02857,2.6397708878097372,No,No
ZCTA5 02858,286,89960,0,130,02858,0.0,No,No
ZCTA5 02859,7295,114726,665,4316,02859,9.115832762165867,No,No
ZCTA5 02860,47677,54462,7944,26472,02860,16.662122197285903,No,No
ZCTA5 02861,27527,78977,2267,16737,02861,8.23555055036873,No,No
ZCTA5 02863,22359,43092,5312,10537,02863,23.75777091998748,No,No
ZCTA5 02864,36142,109746,2034,20730,02864,5.627801449836755,No,No
ZCTA5 02865,18306,110639,1132,10137,02865,6.183764885829782,No,No
ZCTA5 02871,17748,107360,915,9454,02871,5.155510480054091,No,No
ZCTA5 02872,98,-666666666,0,36,02872,0.0,No,No
ZCTA5 02873,97,42266,0,49,02873,0.0,No,No
